Name,SPDXID,Version,DownloadLocation,License
"@opentelemetry/semantic-conventions","SPDXRef-Package-opentelemetry.semantic-conventions-1.43.0","1.43.0","https://registry.npmjs.org/@opentelemetry/semantic-conventions/-/semantic-conventions-1.43.0.tgz","Apache-2.0"
"@pinojs/redact","SPDXRef-Package-pinojs.redact-0.4.0","0.4.0","https://registry.npmjs.org/@pinojs/redact/-/redact-0.4.0.tgz","MIT"
"@pkgjs/parseargs","SPDXRef-Package-pkgjs.parseargs-0.11.0","0.11.0","https://registry.npmjs.org/@pkgjs/parseargs/-/parseargs-0.11.0.tgz","MIT"
"@smithy/core","SPDXRef-Package-smithy.core-3.33.3","3.33.3","https://registry.npmjs.org/@smithy/core/-/core-3.33.3.tgz","Apache-2.0"
"@smithy/credential-provider-imds","SPDXRef-Package-smithy.credential-provider-imds-4.5.2","4.5.2","https://registry.npmjs.org/@smithy/credential-provider-imds/-/credential-provider-imds-4.5.2.tgz","Apache-2.0"
"@smithy/fetch-http-handler","SPDXRef-Package-smithy.fetch-http-handler-5.7.2","5.7.2","https://registry.npmjs.org/@smithy/fetch-http-handler/-/fetch-http-handler-5.7.2.tgz","Apache-2.0"
"@smithy/node-http-handler","SPDXRef-Package-smithy.node-http-handler-4.11.3","4.11.3","https://registry.npmjs.org/@smithy/node-http-handler/-/node-http-handler-4.11.3.tgz","Apache-2.0"
"@smithy/signature-v4","SPDXRef-Package-smithy.signature-v4-5.7.3","5.7.3","https://registry.npmjs.org/@smithy/signature-v4/-/signature-v4-5.7.3.tgz","Apache-2.0"
"@smithy/util-waiter","SPDXRef-Package-smithy.util-waiter-4.6.2","4.6.2","https://registry.npmjs.org/@smithy/util-waiter/-/util-waiter-4.6.2.tgz","Apache-2.0"
"@tree-sitter-grammars/tree-sitter-yaml","SPDXRef-Package-tree-sitter-grammars.tree-sitter-yaml-0.7.1","0.7.1","https://registry.npmjs.org/@tree-sitter-grammars/tree-sitter-yaml/-/tree-sitter-yaml-0.7.1.tgz","MIT"
"abort-controller","SPDXRef-Package-abort-controller-3.0.0","3.0.0","https://registry.npmjs.org/abort-controller/-/abort-controller-3.0.0.tgz","MIT"
"agent-base","SPDXRef-Package-agent-base-6.0.2","6.0.2","https://registry.npmjs.org/agent-base/-/agent-base-6.0.2.tgz","MIT"
"ansi-regex","SPDXRef-Package-ansi-regex-5.0.1","5.0.1","https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz","MIT"
"ansi-styles","SPDXRef-Package-ansi-styles-6.2.3","6.2.3","https://registry.npmjs.org/ansi-styles/-/ansi-styles-6.2.3.tgz","MIT"
"archiver","SPDXRef-Package-archiver-7.0.1","7.0.1","https://registry.npmjs.org/archiver/-/archiver-7.0.1.tgz","MIT"
"archiver-utils","SPDXRef-Package-archiver-utils-5.0.2","5.0.2","https://registry.npmjs.org/archiver-utils/-/archiver-utils-5.0.2.tgz","MIT"
"async","SPDXRef-Package-async-3.2.6","3.2.6","https://registry.npmjs.org/async/-/async-3.2.6.tgz","MIT"
"async-mutex","SPDXRef-Package-async-mutex-0.5.0","0.5.0","https://registry.npmjs.org/async-mutex/-/async-mutex-0.5.0.tgz","MIT"
"asynckit","SPDXRef-Package-asynckit-0.4.0","0.4.0","https://registry.npmjs.org/asynckit/-/asynckit-0.4.0.tgz","MIT"
"atomic-sleep","SPDXRef-Package-atomic-sleep-1.0.0","1.0.0","https://registry.npmjs.org/atomic-sleep/-/atomic-sleep-1.0.0.tgz","MIT"
"axios","SPDXRef-Package-axios-1.19.0","1.19.0","https://registry.npmjs.org/axios/-/axios-1.19.0.tgz","MIT"
"b4a","SPDXRef-Package-b4a-1.8.1","1.8.1","https://registry.npmjs.org/b4a/-/b4a-1.8.1.tgz","Apache-2.0"
"balanced-match","SPDXRef-Package-balanced-match-1.0.2","1.0.2","https://registry.npmjs.org/balanced-match/-/balanced-match-1.0.2.tgz","MIT"
"bare-events","SPDXRef-Package-bare-events-2.9.1","2.9.1","https://registry.npmjs.org/bare-events/-/bare-events-2.9.1.tgz","Apache-2.0"
"bare-fs","SPDXRef-Package-bare-fs-4.8.1","4.8.1","https://registry.npmjs.org/bare-fs/-/bare-fs-4.8.1.tgz","Apache-2.0"
"bare-path","SPDXRef-Package-bare-path-3.1.1","3.1.1","https://registry.npmjs.org/bare-path/-/bare-path-3.1.1.tgz","Apache-2.0"
"bare-stream","SPDXRef-Package-bare-stream-2.13.3","2.13.3","https://registry.npmjs.org/bare-stream/-/bare-stream-2.13.3.tgz","Apache-2.0"
"bare-url","SPDXRef-Package-bare-url-2.5.2","2.5.2","https://registry.npmjs.org/bare-url/-/bare-url-2.5.2.tgz","Apache-2.0"
"base64-js","SPDXRef-Package-base64-js-1.5.1","1.5.1","https://registry.npmjs.org/base64-js/-/base64-js-1.5.1.tgz","MIT"
"bowser","SPDXRef-Package-bowser-2.14.1","2.14.1","https://registry.npmjs.org/bowser/-/bowser-2.14.1.tgz","MIT"
"brace-expansion","SPDXRef-Package-brace-expansion-2.1.4","2.1.4","https://registry.npmjs.org/brace-expansion/-/brace-expansion-2.1.4.tgz","MIT"
"buffer","SPDXRef-Package-buffer-6.0.3","6.0.3","https://registry.npmjs.org/buffer/-/buffer-6.0.3.tgz","MIT"
"buffer-crc32","SPDXRef-Package-buffer-crc32-1.0.0","1.0.0","https://registry.npmjs.org/buffer-crc32/-/buffer-crc32-1.0.0.tgz","MIT"
"buffer-crc32","SPDXRef-Package-buffer-crc32-0.2.13","0.2.13","https://registry.npmjs.org/buffer-crc32/-/buffer-crc32-0.2.13.tgz","MIT"
"cfn-guard","SPDXRef-Package-cfn-guard-3.1.1","3.1.1","NOASSERTION","Apache-2.0"
"cjs-module-lexer","SPDXRef-Package-cjs-module-lexer-2.2.1","2.2.1","https://registry.npmjs.org/cjs-module-lexer/-/cjs-module-lexer-2.2.1.tgz","MIT"
"colorette","SPDXRef-Package-colorette-2.0.20","2.0.20","https://registry.npmjs.org/colorette/-/colorette-2.0.20.tgz","MIT"
"combined-stream","SPDXRef-Package-combined-stream-1.0.8","1.0.8","https://registry.npmjs.org/combined-stream/-/combined-stream-1.0.8.tgz","MIT"
"compress-commons","SPDXRef-Package-compress-commons-6.0.2","6.0.2","https://registry.npmjs.org/compress-commons/-/compress-commons-6.0.2.tgz","MIT"
"core-util-is","SPDXRef-Package-core-util-is-1.0.3","1.0.3","https://registry.npmjs.org/core-util-is/-/core-util-is-1.0.3.tgz","MIT"
"crc-32","SPDXRef-Package-crc-32-1.2.2","1.2.2","https://registry.npmjs.org/crc-32/-/crc-32-1.2.2.tgz","Apache-2.0"
"crc32-stream","SPDXRef-Package-crc32-stream-6.0.0","6.0.0","https://registry.npmjs.org/crc32-stream/-/crc32-stream-6.0.0.tgz","MIT"
"dateformat","SPDXRef-Package-dateformat-4.6.3","4.6.3","https://registry.npmjs.org/dateformat/-/dateformat-4.6.3.tgz","MIT"
"deep-object-diff","SPDXRef-Package-deep-object-diff-1.1.9","1.1.9","https://registry.npmjs.org/deep-object-diff/-/deep-object-diff-1.1.9.tgz","MIT"
"delayed-stream","SPDXRef-Package-delayed-stream-1.0.0","1.0.0","https://registry.npmjs.org/delayed-stream/-/delayed-stream-1.0.0.tgz","MIT"
"eastasianwidth","SPDXRef-Package-eastasianwidth-0.2.0","0.2.0","https://registry.npmjs.org/eastasianwidth/-/eastasianwidth-0.2.0.tgz","MIT"
"emoji-regex","SPDXRef-Package-emoji-regex-9.2.2","9.2.2","https://registry.npmjs.org/emoji-regex/-/emoji-regex-9.2.2.tgz","MIT"
"emoji-regex","SPDXRef-Package-emoji-regex-8.0.0","8.0.0","https://registry.npmjs.org/emoji-regex/-/emoji-regex-8.0.0.tgz","MIT"
"end-of-stream","SPDXRef-Package-end-of-stream-1.4.5","1.4.5","https://registry.npmjs.org/end-of-stream/-/end-of-stream-1.4.5.tgz","MIT"
"event-target-shim","SPDXRef-Package-event-target-shim-5.0.1","5.0.1","https://registry.npmjs.org/event-target-shim/-/event-target-shim-5.0.1.tgz","MIT"
"events-universal","SPDXRef-Package-events-universal-1.0.1","1.0.1","https://registry.npmjs.org/events-universal/-/events-universal-1.0.1.tgz","Apache-2.0"
"fast-copy","SPDXRef-Package-fast-copy-4.0.4","4.0.4","https://registry.npmjs.org/fast-copy/-/fast-copy-4.0.4.tgz","MIT"
"fast-fifo","SPDXRef-Package-fast-fifo-1.3.2","1.3.2","https://registry.npmjs.org/fast-fifo/-/fast-fifo-1.3.2.tgz","MIT"
"fast-safe-stringify","SPDXRef-Package-fast-safe-stringify-2.1.1","2.1.1","https://registry.npmjs.org/fast-safe-stringify/-/fast-safe-stringify-2.1.1.tgz","MIT"
"follow-redirects","SPDXRef-Package-follow-redirects-1.16.0","1.16.0","https://registry.npmjs.org/follow-redirects/-/follow-redirects-1.16.0.tgz","MIT"
"foreground-child","SPDXRef-Package-foreground-child-3.3.1","3.3.1","https://registry.npmjs.org/foreground-child/-/foreground-child-3.3.1.tgz","ISC"
"form-data","SPDXRef-Package-form-data-4.0.6","4.0.6","https://registry.npmjs.org/form-data/-/form-data-4.0.6.tgz","MIT"
"fuse.js","SPDXRef-Package-fuse.js-7.5.0","7.5.0","https://registry.npmjs.org/fuse.js/-/fuse.js-7.5.0.tgz","Apache-2.0"
"glob","SPDXRef-Package-glob-10.5.0","10.5.0","https://registry.npmjs.org/glob/-/glob-10.5.0.tgz","ISC"
"help-me","SPDXRef-Package-help-me-5.0.0","5.0.0","https://registry.npmjs.org/help-me/-/help-me-5.0.0.tgz","MIT"
"https-proxy-agent","SPDXRef-Package-https-proxy-agent-5.0.1","5.0.1","https://registry.npmjs.org/https-proxy-agent/-/https-proxy-agent-5.0.1.tgz","MIT"
"ieee754","SPDXRef-Package-ieee754-1.2.1","1.2.1","https://registry.npmjs.org/ieee754/-/ieee754-1.2.1.tgz","BSD-3-Clause"
"import-in-the-middle","SPDXRef-Package-import-in-the-middle-3.3.3","3.3.3","https://registry.npmjs.org/import-in-the-middle/-/import-in-the-middle-3.3.3.tgz","Apache-2.0"
"inherits","SPDXRef-Package-inherits-2.0.4","2.0.4","https://registry.npmjs.org/inherits/-/inherits-2.0.4.tgz","ISC"
"ini","SPDXRef-Package-ini-7.0.0","7.0.0","https://registry.npmjs.org/ini/-/ini-7.0.0.tgz","ISC"
"is-fullwidth-code-point","SPDXRef-Package-is-fullwidth-code-point-3.0.0","3.0.0","https://registry.npmjs.org/is-fullwidth-code-point/-/is-fullwidth-code-point-3.0.0.tgz","MIT"
"is-stream","SPDXRef-Package-is-stream-2.0.1","2.0.1","https://registry.npmjs.org/is-stream/-/is-stream-2.0.1.tgz","MIT"
"isarray","SPDXRef-Package-isarray-1.0.0","1.0.0","https://registry.npmjs.org/isarray/-/isarray-1.0.0.tgz","MIT"
"jackspeak","SPDXRef-Package-jackspeak-3.4.3","3.4.3","https://registry.npmjs.org/jackspeak/-/jackspeak-3.4.3.tgz","BlueOak-1.0.0"
"jose","SPDXRef-Package-jose-4.15.9","4.15.9","https://registry.npmjs.org/jose/-/jose-4.15.9.tgz","MIT"
"joycon","SPDXRef-Package-joycon-3.1.1","3.1.1","https://registry.npmjs.org/joycon/-/joycon-3.1.1.tgz","MIT"
"lazystream","SPDXRef-Package-lazystream-1.0.1","1.0.1","https://registry.npmjs.org/lazystream/-/lazystream-1.0.1.tgz","MIT"
"lmdb","SPDXRef-Package-lmdb-3.5.6","3.5.6","https://registry.npmjs.org/lmdb/-/lmdb-3.5.6.tgz","MIT"
"lodash","SPDXRef-Package-lodash-4.18.1","4.18.1","https://registry.npmjs.org/lodash/-/lodash-4.18.1.tgz","MIT"
"lru-cache","SPDXRef-Package-lru-cache-11.5.2","11.5.2","https://registry.npmjs.org/lru-cache/-/lru-cache-11.5.2.tgz","BlueOak-1.0.0"
"lru-cache","SPDXRef-Package-lru-cache-10.4.3","10.4.3","https://registry.npmjs.org/lru-cache/-/lru-cache-10.4.3.tgz","ISC"
"luxon","SPDXRef-Package-luxon-3.7.2","3.7.2","https://registry.npmjs.org/luxon/-/luxon-3.7.2.tgz","MIT"
"mime-db","SPDXRef-Package-mime-db-1.52.0","1.52.0","https://registry.npmjs.org/mime-db/-/mime-db-1.52.0.tgz","MIT"
"mime-types","SPDXRef-Package-mime-types-2.1.35","2.1.35","https://registry.npmjs.org/mime-types/-/mime-types-2.1.35.tgz","MIT"
"minimatch","SPDXRef-Package-minimatch-9.0.9","9.0.9","https://registry.npmjs.org/minimatch/-/minimatch-9.0.9.tgz","ISC"
"minimatch","SPDXRef-Package-minimatch-5.1.9","5.1.9","https://registry.npmjs.org/minimatch/-/minimatch-5.1.9.tgz","ISC"
"minipass","SPDXRef-Package-minipass-7.1.3","7.1.3","https://registry.npmjs.org/minipass/-/minipass-7.1.3.tgz","BlueOak-1.0.0"
"module-details-from-path","SPDXRef-Package-module-details-from-path-1.0.4","1.0.4","https://registry.npmjs.org/module-details-from-path/-/module-details-from-path-1.0.4.tgz","MIT"
"msgpackr","SPDXRef-Package-msgpackr-1.12.1","1.12.1","https://registry.npmjs.org/msgpackr/-/msgpackr-1.12.1.tgz","MIT"
"msgpackr-extract","SPDXRef-Package-msgpackr-extract-3.0.4","3.0.4","https://registry.npmjs.org/msgpackr-extract/-/msgpackr-extract-3.0.4.tgz","MIT"
"node-addon-api","SPDXRef-Package-node-addon-api-6.1.0","6.1.0","https://registry.npmjs.org/node-addon-api/-/node-addon-api-6.1.0.tgz","MIT"
"node-addon-api","SPDXRef-Package-node-addon-api-8.9.2","8.9.2","https://registry.npmjs.org/node-addon-api/-/node-addon-api-8.9.2.tgz","MIT"
"node-gyp-build","SPDXRef-Package-node-gyp-build-4.8.4","4.8.4","https://registry.npmjs.org/node-gyp-build/-/node-gyp-build-4.8.4.tgz","MIT"
"node-gyp-build-optional-packages","SPDXRef-Package-node-gyp-build-optional-packages-5.2.2","5.2.2","https://registry.npmjs.org/node-gyp-build-optional-packages/-/node-gyp-build-optional-packages-5.2.2.tgz","MIT"
"on-exit-leak-free","SPDXRef-Package-on-exit-leak-free-2.1.2","2.1.2","https://registry.npmjs.org/on-exit-leak-free/-/on-exit-leak-free-2.1.2.tgz","MIT"
"once","SPDXRef-Package-once-1.4.0","1.4.0","https://registry.npmjs.org/once/-/once-1.4.0.tgz","ISC"
"ordered-binary","SPDXRef-Package-ordered-binary-1.6.1","1.6.1","https://registry.npmjs.org/ordered-binary/-/ordered-binary-1.6.1.tgz","MIT"
